Classe,Texto
neg,"@LulaOficial Lixo, PT e lula ladrão nunca mais 🤮🤮🤮🤮🤮"
neg,@TatianeFeitos Lula ladrão seu lugar é na prisão
neg,Tecardoso1 O LULALADRÃO SÓ DEU DINHEIRO PARA SEUS “AMIGOS”! #EsquerdaNuncaMais #EsquerdaCriminosa #PTNuncaMais #PTNuncaMais #PTNuncaMais
neg,"@JanjaLula Isso que é gostar de ladrão, Deus livre o Brasil  desse Lula ladrão 🙏🙏🙏 #lulaladrãoseulugarénaprisão"
neg,"@ThiagoResiste Lula e o grande ladrão, não quero um criminoso liderando o meu país"
neg,@andreafalconery Não é uma opinião é um fato lula é ladrão
neg,@CarlosBolsonaro Lula ladrão seu lugar é na prisão
neg,simonepbi2 QUANTOS IMÓVEIS O CLÃ DO #LulaLadrao COMPROU NO PERÍODO DE 30 ANOS?
neg,"sapulino_torres Falta de vergonha na cara. Brasil o país do crime compensa. Da impunidade, da justiça falida. Quer se dar no Brasil? Seja bandido. Quem sabe vc será o próximo presidente. #LulaLadrao #LulaNuncaMais"
neg,@augustodeAB Eu não entendo e não respeito que vota no Lula
neg,"FCasquilha Só petralha que acredita nos ladrões (Lula, ladrão de dinheiro das estatais, e DataFoice, ladrão de percentuais)."
neg,"@GFiuza_Oficial Baixou um humilde no Lula, ele agora é evangélico! Isso só prova que até ladrão pode humilde. ✌"
neg,wand_silva Esqueceram da garrafa de cana ! Vagabundo safado lula ladrao
neg,"@brasil247 Kkk ELEGER QUEM ROUBOU O BRASIL? QUEM DIZ Q LADRAO DE CELULAR, E Q ATIRA NA CABECA, NAO DEVE SER PRESO, LULA E UM CRIMINOSO, E LUGAR DE CRIMINOSO E CADEIA"
neg,@augustodeAB E q o lula roubou o país ! E o povo de bem não vota em ladrao ! Precisa desenhar ?
neg,"@BLOGdoPEPE O Lula é Ladrão, até Igreja Batista do Nove Dedos de Satanás, conseguiu corromper humildes. Qual castigo vcs acham q Deus mandará pra trupe?"
neg,@senadorhumberto A bandeira do Lula não é nem nunca foi a bandeira brasileira. Como um bom ladrão quer roubar agora a ideia do coleguinha né
neg,GALEGOBOLSO22 LULALADRÃO GRANDE LIDER DA CORRUPÇÃO 
neg,"@xicosa Lula e ladrao e se por uma enorme desgraça deformação eleito , vai colocar toda a quadrilha pra participar do roubo. Acordem"
neg,alexbravin @folha O Lula nem desmente que é ladrão 🤮
neg,TassiaSena1 @ThiagoResiste Fora Lula ladrão eu já fui filiada ao PT acordei e hj meu grito é ACORDA BRASIL
neg,"rogeriomarc1 Só uma coisa a comentar Lula é ladrão vagabundo e não vai se eleger, o Brasil precisa de um Presidente como o Bolsonaro"
